#Table1
fiberID,ra,dec,z_noqso,z_noqso_err,passive_logmass,starforming_logmass,pca_logmass
773,28.306434,0.21319141,0.4939275,9.243654E-05,11.15,11.41,11.4638500339352
829,28.529278,0.90523293,0.3841984,0.00011694,11.56,11.46,11.4043682548654
891,28.851745,0.30782414,0.5132019,0.0001193411,10.99,10.98,11.2294067254406
967,29.075468,0.49753409,0.5184695,0.0001377314,11.06,10.61,11.3871921667014
7,29.338454,-0.36208469,0.4390604,0.0001080874,10.8,10.91,11.1544935880811
56,29.173963,-0.65922179,0.558575,0.0001355643,11.08,11.16,11.2913945622713
107,29.000775,-0.38033012,0.4486692,0.0001008293,11.24,11.26,11.3815081376815
155,28.774066,-0.08024275,0.4652254,0.0001323353,11.55,11.47,11.7579093314562
211,28.352977,-1.1138379,0.6109825,4.332299E-05,11.28,10.97,11.4476857003756
265,28.340733,-0.59568756,0.6234738,0.000161292,11.26,11.43,11.4083647377993
337,27.850418,-0.82765825,0.5815831,0.0001870918,11.43,11.37,11.6619240863511
388,27.785083,-0.39935397,0.5347842,6.012664E-05,11.05,10.83,11.0196053612744
437,27.522655,-0.18010737,0.4891249,0.0001148603,11.63,11.34,11.9637056824868
487,27.114196,-0.47185727,0.5241432,0.0001229162,11.3,11.02,11.6836145275156
548,27.301603,1.1906479,0.3811144,8.237959E-05,11.38,11.37,11.5985100550897
599,27.494808,0.78775345,0.4861087,0.0001278843,11.2,11.1,11.4163274920138
655,27.760403,0.16828167,0.646302,8.410605E-05,11.35,10.34,10.77785841882
713,28.186802,0.97367483,0.5749333,0.0001468121,11.12,10.99,11.3817812762572
769,28.40001,0.33392697,0.4600856,9.361488E-05,11.26,11.36,11.4396344299312
824,28.558837,1.1626251,0.1829508,1.844933E-05,11.12,10.82,11.3473298422759
887,28.765729,0.34356329,0.5986343,9.414327E-05,11.36,11.37,11.6644618652208
965,29.165925,0.29227261,0.5838328,0.0003970682,11.13,11.01,11.2380919217831
2,29.216354,-0.53158797,0.55455,0.0002412996,11.02,10.57,11.0135129977134
54,28.9852,-1.0203703,0.7432023,0.0002848355,11.34,11.13,11.4659734956222
105,28.993252,-0.52494051,0.6407845,0.0001747077,11.32,11.31,11.8054066186305
152,28.803394,-0.12761772,0.568956,9.134509E-05,11.32,10.69,11.2331635252922
207,28.431975,-1.0143381,0.6674045,0.0002360241,11.64,10.84,11.9327562207473
263,28.345622,-0.65864892,0.4930615,6.964142E-05,11.28,11.48,11.5320580742555
333,27.926253,-0.88095217,0.4463863,0.0001060729,10.99,10.89,11.1820822779118
385,27.696966,-0.63427868,0.5204328,0.0001046998,11.16,11.14,11.2050449007656
433,27.461678,-0.35074817,0.6703607,0.0001534631,11.29,10.71,11.204500149528
483,26.802054,-0.57137476,0.5943923,0.0001602188,11.12,11.05,11.5679264364298
545,27.092922,1.1351062,0.5903019,0.0001772676,11.45,11.43,11.4739531094092
597,27.498548,0.76577844,0.5992002,0.0003339591,11.25,11.28,11.458133744527
651,27.805964,0.13241006,0.5291997,0.0001301502,11.19,11.21,11.5827951127285
