UID,x[kpc/h],y[kpc/h],z[kpc/h],x_pix,y_pix,i_sector,m500c[Msol/h],r500c[kpc/h],gas_frac,star_frac,T[kev],Lx[1e44erg/s],Y500c,M_sat/M_cD,cshift[kpc],vx[km/s],vy[km/s],vz[km/s]
167,40962.844,95764.0,14392.946000000002,1048,13932,35,208149000000000.0,880.658,0.111457,0.0293362,3.38961,2.39883,29.236894,0.18090499999999998,0.0,-126.32,168.44099999999997,168.291
168,81835.195,93937.31199999999,240935.06,2094,13979,35,239388000000000.0,922.681,0.112621,0.0293941,4.01895,5.04845,36.698321,0.18295999999999998,0.0,-381.814,-303.329,-128.423
169,278812.41,382785.5,627757.94,7137,6584,17,183384000000000.0,844.249,0.121653,0.030157,3.15886,3.23656,28.5094,0.0909173,0.0,542.328,-216.139,125.962
170,398586.34,451962.0,15793.181999999999,10203,4813,18,211432000000000.0,885.28,0.114777,0.0293959,3.3004300000000004,2.65156,29.467999,0.28478400000000004,0.0,-366.76800000000003,-117.54899999999999,588.069
171,174206.58,391899.28,133072.55,4459,6351,15,200191000000000.0,869.292,0.107386,0.0329459,3.2279400000000003,2.22034,26.479066999999997,0.294165,0.0,-321.418,257.41700000000003,383.30400000000003
172,130072.52,547620.62,491902.94,3329,2364,8,157704000000000.0,802.851,0.101635,0.0284172,3.22948,1.59405,23.156008,0.07089889999999999,0.0,-188.157,-307.66700000000003,-155.625
173,354914.38,385007.16,633584.44,9085,6527,17,186010000000000.0,848.246,0.100305,0.0314556,3.66155,1.50439,27.377767,0.0484805,0.0,506.35699999999997,-228.50400000000002,260.548
174,618530.75,494601.31,183353.95,15834,3722,13,131150000000000.0,754.986,0.112921,0.0319014,2.91947,1.49434,21.871803,0.507694,0.0,89.5417,-288.036,-215.81
175,636307.12,193568.98,256078.36,16289,11428,34,203293000000000.0,873.76,0.103061,0.0336769,3.56169,2.15142,28.184163,0.112903,0.0,-46.82,375.032,311.585
176,5231.6509,122058.44,205718.78,133,13259,35,89608900000000.0,664.976,0.0984939,0.0329385,2.309,0.55807,13.288820999999999,0.23957199999999998,0.0,-330.329,933.5319999999999,-229.655
177,206225.84,473509.81,8326.8535,5279,4262,9,188979000000000.0,852.767,0.109729,0.0286701,3.58701,2.4285099999999997,29.493259000000002,0.0492707,0.0,-59.307,-355.619,-185.75599999999997
178,539793.56,295294.62,573263.38,13818,8824,26,218154000000000.0,894.55,0.1119,0.0308738,3.7942,3.7404699999999997,33.374926,0.25690100000000005,0.0,131.446,540.719,-177.335
179,524897.69,184662.05,307833.38,13437,11656,33,144820000000000.0,780.349,0.104687,0.0274539,3.2737700000000003,1.34287,23.502154,0.36341,0.0,193.97400000000002,-32.5521,-235.523
180,289323.72,19457.979,28594.779,7406,15885,45,100036000000000.0,689.823,0.0934483,0.0315131,2.4089099999999997,0.849565,13.645394,0.224471,0.0,-122.583,532.914,-81.0225
181,181872.45,191526.56,464878.31,4655,11480,29,164161000000000.0,813.646,0.0992035,0.0324423,3.59996,1.44834,25.535135,0.0488935,0.0,-299.536,-332.538,71.964
182,243498.53,128225.01,491163.22,6233,13101,37,159389000000000.0,805.707,0.0923299,0.0342657,3.43324,1.35884,22.442132,0.0635395,0.0,8.7617,-473.599,-434.01300000000003
183,524427.88,620883.88,514225.38,13425,489,5,153974000000000.0,796.467,0.106975,0.0379003,3.08887,1.8038599999999998,23.12655,0.06290499999999999,0.0,-211.637,583.302,-339.917
184,491742.47,94421.844,78965.781,12588,13966,40,202310000000000.0,872.341,0.107258,0.0281234,3.5432,2.07091,29.133208000000003,0.130666,0.0,103.34,153.963,210.30700000000002
185,142175.11,77520.422,566629.81,3639,14399,43,142961000000000.0,777.022,0.111977,0.0342415,3.0005599999999997,1.4407299999999998,22.940261,0.122599,0.0,92.5446,421.144,230.423
186,365279.84,211903.31,438647.25,9351,10959,31,109495000000000.0,710.912,0.0822417,0.0359557,2.85416,0.522208,14.663843,0.04952430000000001,0.0,-104.176,156.82,59.5777
187,359907.97,375114.03,380245.25,9213,6781,17,213410000000000.0,888.009,0.111342,0.0315775,3.74672,2.51748,32.554184,0.228185,0.0,340.055,301.387,-136.721
188,631239.0,204553.95,557980.19,16159,11147,34,224203000000000.0,902.755,0.101764,0.0346669,4.04899,2.7269200000000002,32.685898,0.0472471,0.0,-252.72400000000002,-38.6736,-234.86599999999999
189,282773.41,462054.66,251408.38,7238,4555,10,185454000000000.0,847.407,0.106579,0.0334232,3.27419,1.8607200000000002,25.986194,0.23648000000000002,0.0,293.08299999999997,-227.815,-152.265
190,229506.83,40110.477,216054.81,5875,15357,44,194811000000000.0,861.422,0.108928,0.0317929,3.4275800000000003,2.17449,28.263447999999997,0.168351,0.0,293.45599999999996,72.3501,160.192
191,162514.52,601574.06,185767.16,4160,983,1,151048000000000.0,791.376,0.110997,0.0336967,3.07945,1.6616099999999998,23.771041,0.09667739999999998,0.0,83.8092,-220.938,43.7482
192,293831.09,611714.56,470674.03,7522,724,3,180747000000000.0,840.2,0.109958,0.0324325,3.53945,2.0178700000000003,28.733237,0.06974069999999999,0.0,200.579,247.81,-279.589
193,89365.008,635085.56,597033.0,2287,125,0,165884000000000.0,816.49,0.112295,0.0374097,3.14889,2.19653,25.37085,0.0956215,0.0,-477.082,-96.7966,-72.038
194,598913.12,338806.44,150347.17,15332,7710,27,157546000000000.0,802.577,0.113699,0.0277274,3.0036,1.9066900000000002,24.085046,0.343186,0.0,-474.61,-415.75699999999995,-113.57600000000001
195,369005.53,273761.47,25148.461,9446,9375,32,188868000000000.0,852.589,0.105606,0.0306682,3.6854400000000003,1.8310799999999998,29.159259000000002,0.247419,0.0,71.2925,188.68099999999998,-367.075
196,548819.81,598561.69,427903.19,14049,1060,6,102788000000000.0,696.096,0.0943328,0.0314121,2.47332,0.578587,14.271199,0.120081,0.0,-450.55300000000005,264.126,125.573
197,233011.97,134953.25,482663.59,5965,12929,37,162066000000000.0,810.181,0.107841,0.0357886,3.41909,2.05641,26.250441,0.0617499,0.0,501.49199999999996,-95.8109,-149.437
198,230685.58,558293.0,36569.727,5905,2091,2,202683000000000.0,872.89,0.113865,0.0343629,3.87014,257.783,33.801087,0.11936600000000001,0.0,76.8287,-318.867,383.745
199,243373.88,368322.78,109262.31,6230,6954,16,171657000000000.0,825.841,0.118189,0.0309399,3.4054300000000004,2.1347,29.210192,0.133666,0.0,310.668,152.61,461.994
200,349309.41,86557.18,394824.5,8942,14168,45,82033700000000.0,645.688,0.106286,0.0343722,2.15141,4.969930000000001,12.973564999999999,0.209326,0.0,73.3343,-528.059,255.35299999999998
201,141138.05,384213.84,131469.0,3613,6548,15,167143000000000.0,818.559,0.10991,0.0326898,3.13944,1.96353,24.819408,0.114185,0.0,176.28900000000002,55.5517,477.791
202,400748.31,467326.56,43032.449,10259,4420,11,119786000000000.0,732.51,0.109059,0.0326039,2.80012,1.78778,19.65756,0.12378399999999999,0.0,48.2695,43.1515,309.086
203,354362.06,254159.52,562065.31,9071,9877,31,189356000000000.0,853.322,0.11158,0.0289846,3.5249800000000002,4.8240300000000005,29.49237,0.0961711,0.0,293.693,405.401,-33.5564
204,240995.05,141102.47,475330.22,6169,12771,37,230152000000000.0,910.67,0.119208,0.0301761,4.18726,4.20673,39.943159,0.215648,0.0,-217.747,-244.36,502.227
205,119930.32,288962.12,359334.0,3070,8986,22,155130000000000.0,798.445,0.102867,0.0361926,3.2736400000000003,1.5598299999999998,23.628109,0.0574745,0.0,-406.536,491.76,426.496
206,431505.66,484020.91,344337.06,11046,3993,11,186066000000000.0,848.339,0.110558,0.0274019,3.35325,2.04188,27.637612,0.0699862,0.0,-190.101,48.1034,541.465
207,497612.94,434951.19,281107.12,12738,5249,19,87421300000000.0,659.506,0.104513,0.0331377,2.24588,0.682603,13.603557,0.131473,0.0,116.76100000000001,-121.387,86.8208
208,95364.359,321874.06,361961.25,2441,8144,22,204541000000000.0,875.539,0.111541,0.0316339,3.3557900000000003,2.39932,28.798746,0.721442,0.0,181.47099999999998,18.5202,315.498
209,359674.53,410380.69,236767.59,9207,5878,17,211380000000000.0,885.182,0.113994,0.027006,3.3714699999999995,3.02193,29.896012,0.16822,0.0,-22.2501,-122.194,457.426
